freq	hVirgo50W
2265	9,436E-23
2291	9,539E-23
2317	9,644E-23
2344	9,75E-23
2371	9,858E-23
2399	9,966E-23
2427	1,008E-22
2455	1,019E-22
2483	1,03E-22
2512	1,041E-22
2541	1,053E-22
2570	1,065E-22
2600	1,076E-22
2630	1,088E-22
2661	1,101E-22
2692	1,113E-22
2723	1,125E-22
2754	1,138E-22
2786	1,15E-22
2818	1,163E-22
2851	1,176E-22
2884	1,19E-22
2917	1,203E-22
2951	1,216E-22
2985	1,23E-22
3020	1,244E-22
3055	1,258E-22
3090	1,272E-22
3126	1,286E-22
3162	1,301E-22
3199	1,315E-22
3236	1,33E-22
3273	1,345E-22
3311	1,36E-22
3350	1,376E-22
3388	1,391E-22
3428	1,407E-22
3467	1,423E-22
3508	1,439E-22
3548	1,455E-22
3589	1,472E-22
3631	1,489E-22
3673	1,506E-22
3715	1,523E-22
3758	1,54E-22
3802	1,558E-22
3846	1,575E-22
3890	1,593E-22
3936	1,611E-22
3981	1,63E-22
4027	1,648E-22
4074	1,667E-22
4121	1,686E-22
4169	1,706E-22
4217	1,725E-22
4266	1,745E-22
4315	1,765E-22
4365	1,785E-22
4416	1,806E-22
4467	1,826E-22
4519	1,847E-22
4571	1,869E-22
4624	1,89E-22
4677	1,912E-22
4732	1,934E-22
4786	1,957E-22
4842	1,979E-22
4898	2,003E-22
4955	2,026E-22
5012	2,05E-22
5070	2,075E-22
5129	2,101E-22
5188	2,127E-22
5248	2,156E-22
5309	2,187E-22
5370	2,225E-22
5433	2,282E-22
5495	2,422E-22
5559	5,015E-18
5623	7,527E-18
5689	2,599E-22
5754	2,414E-22
5821	2,402E-22
5888	2,415E-22
5957	2,436E-22
6026	2,461E-22
6095	2,487E-22
6166	2,514E-22
6237	2,542E-22
6310	2,57E-22
6383	2,6E-22
6457	2,629E-22
6531	2,659E-22
6607	2,689E-22
6683	2,72E-22
6761	2,751E-22
6839	2,783E-22
6918	2,815E-22
6998	2,847E-22
7079	2,88E-22
7161	2,913E-22
7244	2,947E-22
7328	2,981E-22
7413	3,015E-22
7499	3,05E-22
7586	3,085E-22
7674	3,12E-22
7762	3,156E-22
7852	3,193E-22
7943	3,23E-22
8035	3,267E-22
8128	3,305E-22
8222	3,343E-22
8318	3,381E-22
8414	3,42E-22
8511	3,46E-22
8610	3,5E-22
8710	3,54E-22
8810	3,581E-22
8913	3,622E-22
9016	3,664E-22
9120	3,706E-22
9226	3,749E-22
9333	3,792E-22
9441	3,836E-22
9550	3,88E-22
9661	3,925E-22
9772	3,971E-22
9886	4,016E-22
10000	4,063E-22
